month,base_payment,cost,revenue,adjustment,margin,wmvi,employer_exposure,regime,event,cap_hit,project
2022-06-01,0.05839319967111854,0.06369910929579722,0.05849118371478855,9.798404367000541e-05,-0.005207925581008674,2.636389807446853,0.0022599642797592715,FIDIC 13.8,True,False,building
2022-07-01,0.046309947444497145,0.051123607922108336,0.04667336621675012,0.0003634187722529728,-0.004450241705358217,2.0246570967931357,0.0026233830520122443,FIDIC 13.8,True,False,building
2022-08-01,0.03559550566771102,0.039238675801090236,0.035561435302052614,-3.407036565840153e-05,-0.003677240499037622,1.846293002923112,0.002589312686353843,FIDIC 13.8,True,False,building
2022-09-01,0.026707411512321422,0.029681715227682284,0.026851905048265307,0.00014449353594388675,-0.0028298101794169764,0.33071541717846953,0.00273380622229773,FIDIC 13.8,True,False,building
2022-10-01,0.01967788666114087,0.021839108850690937,0.019659748751659795,-1.813790948107597e-05,-0.0021793600990311426,1.4798907025779506,0.0027156683128166537,FIDIC 13.8,True,False,building
2021-05-01,0.04978706836786394,0.0518809417584496,0.04978706836786394,0.0,-0.002093873390585664,-1.0270971111415526,0.0,DAM,False,False,building
2021-06-01,0.019677886661140686,0.020530874739465736,0.019677886661140686,0.0,-0.0008529880783250503,-1.0234795015896792,0.0,DAM,False,False,building
2021-07-01,0.026707411512321613,0.027877424593451657,0.026707411512321613,0.0,-0.0011700130811300447,-0.17507464997800753,0.0,DAM,False,False,building
2021-08-01,0.03559550566771097,0.03721535803143668,0.03559550566771097,0.0,-0.0016198523637257073,-0.19241635420053954,0.0,DAM,False,False,building
2021-09-01,0.04630994744449718,0.0485650174363765,0.04630994744449718,0.0,-0.00225506999187932,-0.16462069989965356,0.0,DAM,False,False,building
2021-10-01,0.058393199671118425,0.061141993791864094,0.058393199671118425,0.0,-0.0027487941207456693,0.5228340253777541,0.0,DAM,False,False,building
2021-11-01,0.07079160815290447,0.07437558627631362,0.07079160815290447,0.0,-0.0035839781234091456,-0.41469653089788716,0.0,DAM,False,False,building
2021-12-01,0.08184524831475308,0.08605805154945362,0.08184524831475308,0.0,-0.004212803234700538,-0.21193500337216453,0.0,DAM,False,False,building
2022-01-01,0.08959134228952052,0.09614420043422096,0.08959134228952052,0.0,-0.006552858144700441,-0.4588434300588735,0.0,DAM,False,False,building
2022-02-01,0.09238863220420208,0.0993010067321908,0.09238863220420208,0.0,-0.006912374527988721,0.11903503754810331,0.0,DAM,False,False,building
2022-03-01,0.08959134228952065,0.09690390496824768,0.09005766716888683,0.00046632487936617493,-0.006846237799360846,1.1020502168456427,0.00046632487936617493,DAM,True,False,building
2022-04-01,0.08184524831475301,0.08829794703597309,0.08184524831475301,0.0,-0.0064526987212200765,-0.13069330358515868,0.00046632487936617493,DAM,False,False,building
2022-05-01,0.07079160815290438,0.07702612056851987,0.0713579410181276,0.000566332865223235,-0.005668179550392269,1.953889663512594,0.0010326577445894099,DAM,True,True,building
