project,regime,margin_variance,budget_variance,adjustment_count,cap_hit_count,worst_margin,max_employer_exposure,sim_id
road,FIDIC 13.8,1.8950038509764865e-06,0.00039754671551343147,23,0,-0.0045841524076240675,0.08514246109105983,79
road,DAM,2.1902324664765543e-06,0.0003980874076174299,5,0,-0.004631710785473905,0.07772351494203507,79
road,Fixed-price,6.614401489597697e-07,0.00033542034092931295,0,0,-0.00275017034869135,0.0,80
road,FIDIC 13.8,1.0583042383356287e-07,0.00035062810919790605,23,0,-0.0011000681394765371,0.01875400863110909,80
road,DAM,2.015448605742395e-07,0.0003486776513892363,1,0,-0.0016479687437826462,0.013727839859626698,80
road,Fixed-price,1.1529458322715374e-05,0.00033542034092931295,0,0,-0.010394403641332706,0.0,81
road,FIDIC 13.8,1.8447133316344597e-06,0.00038390565654002713,23,0,-0.004157761456533085,0.061815989319430845,81
road,DAM,1.988316540524444e-06,0.00038154047505675385,4,0,-0.0042156226308075265,0.05690105082716751,81
road,Fixed-price,1.193983029676311e-05,0.00033542034092931295,0,0,-0.009933451577668145,0.0,82
road,FIDIC 13.8,1.910372847482095e-06,0.00039705172724688147,23,0,-0.003973380631067253,0.07146816890811725,82
road,DAM,2.184762517743134e-06,0.0003947697164239479,6,0,-0.004834517275201511,0.06696826016634,82
road,Fixed-price,1.81611423983382e-05,0.00033542034092931295,0,0,-0.01333229104912756,0.0,83
road,FIDIC 13.8,2.9057827837341104e-06,0.0004158894676575759,23,0,-0.005332916419651015,0.10430749524864548,83
road,DAM,3.858820040528822e-06,0.0004135028597737199,6,1,-0.0062931771769779155,0.0920629993996059,83
road,Fixed-price,2.470259986137677e-06,0.00033542034092931295,0,0,-0.005016598750371581,0.0,84
road,FIDIC 13.8,3.952415977820286e-07,0.0003470367765846146,23,0,-0.0020066395001486353,0.031601357187771746,84
road,DAM,5.11661235959033e-07,0.0003467121330337963,5,0,-0.0023996069464743003,0.029749671671394393,84
road,Fixed-price,5.634500136730869e-06,0.00033542034092931295,0,0,-0.007474766833560166,0.0,85
